"id";"updated";"ship";"imo";"lat";"long";"sog";"cog";"hdg";"depPort";"etdSchedule";"etd";"atd";"arrPort";"etaSchedule";"eta";"ata"
4146;"2018-05-04 19:24:00";Megastar;9773064;60.1217;24.9053;18.4;182;182;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:31:00"
4147;"2018-05-04 19:25:00";Megastar;9773064;60.1159;24.905;19.2;182;182;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:25:00"
4148;"2018-05-04 19:24:00";Star;9364722;59.4517;24.7782;13.7;9;6;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:26:00"
4149;"2018-05-04 19:27:00";Megastar;9773064;60.11;24.904;19.7;187;187;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:21:00"
4150;"2018-05-04 19:26:00";Star;9364722;59.4575;24.7768;17.7;350;349;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:24:00"
4151;"2018-05-04 19:28:00";Megastar;9773064;60.1041;24.902;20.7;190;189;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:27:00"
4152;"2018-05-04 19:26:00";Star;9364722;59.4621;24.7746;18.4;348;347;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:26:00"
4153;"2018-05-04 19:29:00";Megastar;9773064;60.0978;24.9006;21.3;185;185;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:31:00"
4154;"2018-05-04 19:28:00";Star;9364722;59.47;24.771;19.6;350;349;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:28:00"
4155;"2018-05-04 19:29:00";Star;9364722;59.4746;24.7692;19.8;350;350;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:24:00"
4156;"2018-05-04 19:30:00";Megastar;9773064;60.0899;24.8991;21.9;185;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:33:00"
4157;"2018-05-04 19:30:00";Star;9364722;59.4831;24.7657;21.0;349;348;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:34:00"
4158;"2018-05-04 19:31:00";Megastar;9773064;60.0832;24.8981;22.0;184;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:34:00"
4159;"2018-05-04 19:31:00";Star;9364722;59.4897;24.7625;21.7;346;346;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:25:00"
4160;"2018-05-04 19:32:00";Megastar;9773064;60.0759;24.8976;22.3;181;181;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:23:00"
4161;"2018-05-04 19:32:00";Star;9364722;59.4963;24.7588;22.2;345;343;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:32:00"
4162;"2018-05-04 19:33:00";Megastar;9773064;60.0716;24.8975;22.4;181;181;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:33:00"
4163;"2018-05-04 19:33:00";Star;9364722;59.5029;24.7545;22.2;342;342;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:28:00"
4164;"2018-05-04 19:34:00";Megastar;9773064;60.0647;24.8972;22.6;181;181;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:31:00"
4165;"2018-05-04 19:35:00";Star;9364722;59.5091;24.7504;22.4;344;342;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:30:00"
4166;"2018-05-04 19:35:00";Megastar;9773064;60.058;24.8971;22.4;181;181;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:22:00"
4167;"2018-05-04 19:36:00";Star;9364722;59.5157;24.7459;22.5;343;342;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:26:00"
4168;"2018-05-04 19:36:00";Megastar;9773064;60.0525;24.897;22.0;179;179;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:28:00"
4169;"2018-05-04 19:37:00";Star;9364722;59.5224;24.7416;22.6;344;342;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:31:00"
4170;"2018-05-04 19:37:00";Megastar;9773064;60.0465;24.8978;21.7;175;176;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:22:00"
4171;"2018-05-04 19:38:00";Star;9364722;59.5289;24.7372;22.6;343;341;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:19:00"
4172;"2018-05-04 19:38:00";Megastar;9773064;60.0405;24.8988;21.5;175;176;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:30:00"
4173;"2018-05-04 19:39:00";Star;9364722;59.5356;24.7327;22.7;343;341;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:30:00"
4174;"2018-05-04 19:40:00";Megastar;9773064;60.0316;24.8997;21.1;181;183;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:28:00"
4175;"2018-05-04 19:39:00";Star;9364722;59.5368;24.7319;22.5;343;341;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:26:00"
4176;"2018-05-04 19:40:00";Megastar;9773064;60.0281;24.8994;21.3;183;185;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:24:00"
4177;"2018-05-04 19:40:00";Star;9364722;59.5428;24.7277;22.3;343;341;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:21:00"
4178;"2018-05-04 19:41:00";Megastar;9773064;60.0222;24.8987;21.6;183;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:31:00"
4179;"2018-05-04 19:41:00";Star;9364722;59.55;24.7227;22.3;343;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:26:00"
4180;"2018-05-04 19:43:00";Megastar;9773064;60.0149;24.8981;21.9;183;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:18:00"
4181;"2018-05-04 19:43:00";Star;9364722;59.5573;24.7174;22.4;342;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:28:00"
4182;"2018-05-04 19:43:00";Megastar;9773064;60.0107;24.8976;21.9;183;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:30:00"
4183;"2018-05-04 19:43:00";Star;9364722;59.5621;24.714;22.4;343;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:26:00"
4184;"2018-05-04 19:44:00";Megastar;9773064;60.0059;24.8971;21.8;183;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:21:00"
4185;"2018-05-04 19:44:00";Star;9364722;59.5663;24.711;22.3;341;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:31:00"
4186;"2018-05-04 19:45:00";Megastar;9773064;59.9998;24.8965;21.9;183;184;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:25:00"
4187;"2018-05-04 19:46:00";Star;9364722;59.5755;24.7045;22.3;343;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:25:00"
4188;"2018-05-04 19:46:00";Megastar;9773064;59.9956;24.8958;21.8;186;187;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:35:00"
4189;"2018-05-04 19:47:00";Star;9364722;59.5821;24.6997;22.2;344;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:28:00"
4190;"2018-05-04 19:47:00";Megastar;9773064;59.9891;24.8939;21.6;189;190;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:29:00"
4191;"2018-05-04 19:47:00";Star;9364722;59.5832;24.6989;22.1;344;340;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:19:00"
4192;"2018-05-04 19:48:00";Megastar;9773064;59.9836;24.8923;21.9;189;191;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:33:00"
4193;"2018-05-04 19:49:00";Star;9364722;59.5948;24.691;22.1;339;344;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:34:00"
4194;"2018-05-04 19:50:00";Megastar;9773064;59.9699;24.8871;22.0;190;191;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:31:00"
4195;"2018-05-04 19:50:00";Star;9364722;59.6017;24.6881;22.1;347;353;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:33:00"
4196;"2018-05-04 19:50:00";Megastar;9773064;59.9682;24.8865;21.9;190;192;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:33:00"
4197;"2018-05-04 19:51:00";Star;9364722;59.6083;24.6873;22.5;11;3;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:31:00"
4198;"2018-05-04 19:50:00";Megastar;9773064;59.9676;24.8863;21.9;190;192;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:28:00"
4199;"2018-05-04 19:51:00";Megastar;9773064;59.9628;24.8845;21.8;191;192;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:31:00"
4200;"2018-05-04 19:53:00";Star;9364722;59.62;24.6915;22.4;21;21;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:18:00"
4201;"2018-05-04 19:52:00";Megastar;9773064;59.9563;24.882;21.8;191;193;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:32:00"
4202;"2018-05-04 19:53:00";Star;9364722;59.6212;24.6923;22.4;22;23;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:31:00"
4203;"2018-05-04 19:53:00";Megastar;9773064;59.9504;24.8796;22.0;191;192;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:27:00"
4204;"2018-05-04 19:55:00";Star;9364722;59.6304;24.701;22.1;25;28;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:33:00"
4205;"2018-05-04 19:54:00";Megastar;9773064;59.9461;24.8779;21.9;191;192;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:25:00"
4206;"2018-05-04 19:56:00";Star;9364722;59.6363;24.7069;22.2;27;28;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:30:00"
4207;"2018-05-04 19:55:00";Megastar;9773064;59.9402;24.8754;21.7;194;196;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:22:00"
4208;"2018-05-04 19:56:00";Star;9364722;59.6389;24.7096;22.1;28;28;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:25:00"
4209;"2018-05-04 19:56:00";Megastar;9773064;59.9351;24.8722;21.7;199;201;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:27:00"
4210;"2018-05-04 19:57:00";Star;9364722;59.6469;24.7183;22.3;30;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:20:00"
4211;"2018-05-04 19:59:00";Megastar;9773064;59.9174;24.8601;21.9;199;200;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:26:00"
4212;"2018-05-04 19:59:00";Star;9364722;59.6558;24.7282;22.3;30;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:22:00"
4213;"2018-05-04 20:00:00";Megastar;9773064;59.9117;24.8562;21.9;199;200;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:29:00"
4214;"2018-05-04 20:00:00";Star;9364722;59.6587;24.7314;22.3;31;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:29:00"
4215;"2018-05-04 20:00:00";Megastar;9773064;59.9093;24.8545;21.9;199;200;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:28:00"
4216;"2018-05-04 20:01:00";Star;9364722;59.6647;24.7381;22.7;32;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:22:00"
4217;"2018-05-04 20:02:00";Megastar;9773064;59.9013;24.8489;21.8;201;202;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:27:00"
4218;"2018-05-04 20:02:00";Star;9364722;59.671;24.7451;22.7;31;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:33:00"
4219;"2018-05-04 20:03:00";Star;9364722;59.6769;24.7517;23.0;32;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:29:00"
4220;"2018-05-04 20:02:00";Megastar;9773064;59.9003;24.8481;22.0;201;202;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:18:00"
4221;"2018-05-04 20:05:00";Star;9364722;59.689;24.7654;23.4;32;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:26:00"
4222;"2018-05-04 20:06:00";Megastar;9773064;59.8791;24.8318;21.9;202;204;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:26:00"
4223;"2018-05-04 20:06:00";Star;9364722;59.6929;24.7697;23.6;31;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:29:00"
4224;"2018-05-04 20:07:00";Megastar;9773064;59.8725;24.8264;21.8;202;203;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:29:00"
4225;"2018-05-04 20:06:00";Star;9364722;59.695;24.772;23.6;31;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:24:00"
4226;"2018-05-04 20:08:00";Megastar;9773064;59.868;24.8229;21.7;201;203;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:30:00"
4227;"2018-05-04 20:08:00";Star;9364722;59.7047;24.783;23.4;31;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:30:00"
4228;"2018-05-04 20:09:00";Megastar;9773064;59.8618;24.8181;21.7;201;203;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:23:00"
4229;"2018-05-04 20:09:00";Star;9364722;59.7108;24.7899;24.3;34;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:23:00"
4230;"2018-05-04 20:09:00";Megastar;9773064;59.8613;24.8176;21.7;201;203;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:27:00"
4231;"2018-05-04 20:10:00";Star;9364722;59.717;24.7968;23.7;28;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:27:00"
4232;"2018-05-04 20:11:00";Star;9364722;59.7231;24.8035;24.0;32;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:37:00"
4233;"2018-05-04 20:12:00";Megastar;9773064;59.8464;24.806;21.5;202;204;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:24:00";"2018-04-05 21:20:00"
4234;"2018-05-04 20:12:00";Star;9364722;59.729;24.8102;23.4;27;30;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:29:00"
